SAMPLE_NAME, LAB_L,  LAB_A,   LAB_B
Brown, 38.523, 16.104, 21.860
Pink, 76.902, 24.700, 21.195
Blue, 53.641, -0.083, -22.746
Green, 43.756, -27.620, 39.755
Purple, 62.567, 12.699, -26.928
Marine, 71.744, -30.386, 1.000
Orange, 65.911, 35.277, 72.330
MidBlue, 45.202, 13.615, -40.085
Salmon, 59.697, 56.782, 9.905
DkPurple, 28.245, 46.311, -34.733
LtGreen, 78.304, -27.587, 78.161
LtOrange, 80.822, 9.532, 82.788
DkBlue, 34.476, 11.371, -48.530
MidGreen, 59.247, -58.007, 45.100
Red, 50.768, 66.604, 58.494
Yellow, 90.461, -8.938, 89.641
MidPink, 55.261, 60.354, -9.774
LtBlue, 62.250, -19.706, -32.323
White, 100, 0, 0
Grey1, 90.236, 0, 0
Grey2, 77.704, 0, 0
Grey3, 56.094, 0.743, 0.263
Grey4, 25.731, -0.224, 0.615
Black, 21.247, 0, 0